search_position,posting_count,company_count,country_count
account executive,19468,6829,4
christian science nurse,16048,2747,4
consultant education,12138,3746,4
change person,12025,3311,4
circulation-sales representative,10978,1840,4
accountant,9571,3967,4
chef,9559,2352,4
agricultural-research engineer,9549,3250,4
extra,9338,1681,4
car inspector,9230,2510,4
dermatologist,9031,1082,4
assembler,8738,3036,4
bakery supervisor,8500,1174,4
guide,8415,2948,4
director social,8319,3615,4
nurse practitioner,8287,1563,4
anesthesiologist,8229,923,4
driver,8170,3001,4
architect,8041,2654,4
manager benefits,7966,3451,4
counselor,7845,2113,4
recruiter,7638,1639,4
manager customer service,7566,2142,4
nurse infection control,7470,1057,4
nurse-midwife,7342,993,4
family practitioner,7305,998,4
aeronautical-design engineer,7199,2929,4
driver supervisor,7004,1867,4
clerk general,6875,1723,4
bridge inspector,6691,1945,4
check cashier,6678,211,4
biologist,6592,1943,4
model,6587,2281,4
nuclear medicine technologist,6563,895,4
instructor,6380,2143,4
economist,6301,3069,4
special effects specialist,6173,1905,4
director educational program,6103,2204,4
art therapist,5934,1880,4
manager employment,5923,1696,4
nurse school,5896,754,4
nurse office,5857,909,4
lawyer,5694,1551,4
dental assistant,5693,838,4
nurse anesthetist,5615,647,4
producer,5602,2524,4
director nursing service,5314,1328,4
principal,5173,1723,4
companion,5154,383,4
nurse supervisor,4984,847,4
