skill,skill_mentions,posting_count,country_count
communication,370143,365931,4
customer service,278104,276472,4
teamwork,227609,226014,4
communication skills,195953,195069,4
leadership,185187,183681,4
problem solving,149036,146022,4
time management,142912,142011,4
attention to detail,133975,132669,4
problemsolving,129329,127040,4
project management,121564,120053,4
interpersonal skills,100269,99875,4
patient care,99929,99400,4
sales,93031,92635,4
nursing,88015,87776,4
collaboration,87116,86224,4
training,83656,82675,4
data analysis,81964,80849,4
microsoft office suite,75532,74865,4
organizational skills,75276,74957,4
inventory management,71911,71535,4
high school diploma,67267,67249,4
scheduling,64461,63807,4
bachelor's degree,63490,63458,4
multitasking,62044,61719,4
analytical skills,60768,60143,4
microsoft office,60604,60093,4
adaptability,59121,58649,4
flexibility,56896,56562,4
critical thinking,53081,52716,4
documentation,51875,51498,4
organization,47045,46830,4
safety,45908,45517,4
budgeting,45401,44704,4
troubleshooting,44508,43443,4
excel,41498,41369,4
problemsolving skills,41468,41118,4
written communication,41237,41111,4
conflict resolution,40955,40022,4
supervision,39138,38765,4
coaching,38473,38087,4
quality control,37858,37679,4
merchandising,37578,37308,4
paid time off,37268,37196,4
verbal communication,37203,37120,4
life insurance,36732,36552,4
reporting,36528,36207,4
quality assurance,36279,36107,4
decision making,36102,35772,4
computer skills,35665,35577,4
team management,35035,34917,4
