search_country,skill,skill_mentions,posting_count
canada,system diagnosis,1,1
canada,attention to detail,6614,6515
canada,dentistry,174,165
united kingdom,4+ years technical experience (it products),1,1
united kingdom,accounting,2533,2523
united kingdom,annual leave,1935,1933
united kingdom,boilers,61,60
united kingdom,compliance and standards maintenance,1,1
united kingdom,confident and logical thinker,3,3
united kingdom,data science,399,396
united kingdom,discharge forms,1,1
united kingdom,flowers,3,3
united kingdom,iac data protection policy 2018,1,1
united kingdom,interview preparation,46,46
united kingdom,medicolegal knowledge,1,1
united kingdom,mental health assessment,72,72
united kingdom,multidisciplinary team (mdt),51,51
united kingdom,net zero future,1,1
united kingdom,oce scanner,2,2
united kingdom,physiotherapy degree,13,13
united kingdom,private equity,120,120
united kingdom,proactive attitude,324,324
united kingdom,restructuring marketplace trends,1,1
united kingdom,selfmanagement,199,199
united kingdom,specialist services,40,40
united kingdom,teamwork skills,706,705
united kingdom,technical investigation,5,5
united kingdom,uk practice experience,48,48
united kingdom,vectorworks,71,71
united kingdom,xml,65,65
united states,punctuation,434,433
canada,client education,41,41
canada,equipment maintenance,410,409
canada,mitek,1,1
united kingdom,automotive electrical test technician,1,1
united kingdom,data processing agreements,4,4
united kingdom,designled,2,2
united kingdom,fluid physics,1,1
united kingdom,hr data reporting,3,3
united kingdom,invoice preparation,29,29
united kingdom,microbiology,120,119
united kingdom,panic disorder,1,1
united kingdom,perkbox shopping discounts,6,6
united kingdom,protected species,28,28
united kingdom,statutory reporting,54,54
united kingdom,system integration,108,107
united kingdom,trade customers,15,15
united states,automotive wiring,16,15
canada,campaign execution and tracking,1,1
canada,3gpp specifications,1,1
