maxDepth,minInstancesPerNode,stepSize,mean_f1
5,10,0.1,0.908724
5,10,0.05,0.908268
5,5,0.05,0.907692
5,5,0.2,0.907568
5,5,0.1,0.907089
5,1,0.05,0.905628
3,5,0.2,0.905378
5,1,0.1,0.905249
3,10,0.2,0.904942
5,10,0.2,0.904782
5,1,0.2,0.903766
8,5,0.1,0.901934
8,5,0.05,0.901790
8,10,0.2,0.900863
8,1,0.05,0.899872
8,1,0.1,0.899222
3,5,0.1,0.899157
3,10,0.1,0.899157
8,1,0.2,0.899093
8,10,0.05,0.898941
8,5,0.2,0.898772
8,10,0.1,0.898462
3,5,0.05,0.898376
3,10,0.05,0.898376
3,1,0.2,0.897382
3,1,0.1,0.896689
3,1,0.05,0.893720
