feature,importance
search_country=united states,0.307937
skills_per_posting,0.243232
companies_per_posting,0.208141
summary_coverage,0.145025
distinct_job_levels,0.094033
search_country=united kingdom,0.001544
search_country=australia,0.000088
distinct_job_types,0.000000
search_country=canada,0.000000
search_position=accountant,0.000000
search_position=accountant systems,0.000000
search_position=adjuster,0.000000
search_position=administrative assistant,0.000000
search_position=airport engineer,0.000000
search_position=appointment clerk,0.000000
search_position=assembler product,0.000000
search_position=assistant principal,0.000000
search_position=auditor,0.000000
search_position=auditor internal,0.000000
search_position=baker helper,0.000000
search_position=binder,0.000000
search_position=bricklayer supervisor,0.000000
search_position=budget analyst,0.000000
search_position=budget officer,0.000000
search_position=building consultant,0.000000
search_position=buyer assistant,0.000000
search_position=card player,0.000000
search_position=central-office equipment engineer,0.000000
search_position=chemical engineer,0.000000
search_position=chief computer programmer,0.000000
search_position=chief petroleum engineer,0.000000
search_position=child monitor,0.000000
search_position=civil engineer,0.000000
search_position=claim examiner,0.000000
search_position=commercial engineer,0.000000
search_position=communication-center operator,0.000000
search_position=contact clerk,0.000000
search_position=controller,0.000000
search_position=cook,0.000000
search_position=cook apprentice,0.000000
search_position=counter hand,0.000000
search_position=counter supervisor,0.000000
search_position=customs import specialist,0.000000
search_position=data entry clerk,0.000000
search_position=development mechanic,0.000000
search_position=dietitian research,0.000000
search_position=director research,0.000000
search_position=director translation,0.000000
search_position=dispatcher,0.000000
search_position=distribution-field engineer,0.000000
search_position=double,0.000000
search_position=dye-house supervisor,0.000000
search_position=electrical technician,0.000000
search_position=electrician research,0.000000
search_position=electromechanical technician,0.000000
search_position=electronics worker,0.000000
search_position=equipment cleaner,0.000000
search_position=exhibit builder,0.000000
search_position=field engineer specialist,0.000000
search_position=fitter,0.000000
search_position=food-service driver,0.000000
search_position=food-service supervisor,0.000000
search_position=garde manger,0.000000
search_position=graduate assistant,0.000000
search_position=home-service director,0.000000
search_position=horticulturist,0.000000
search_position=housekeeper,0.000000
search_position=immigration inspector,0.000000
search_position=industrial hygienist,0.000000
search_position=industrial-health engineer,0.000000
search_position=installer,0.000000
search_position=instructor business education,0.000000
search_position=instructor sports,0.000000
search_position=instrument inspector,0.000000
search_position=instrument technician,0.000000
search_position=intelligence specialist,0.000000
search_position=interpreter,0.000000
search_position=job analyst,0.000000
search_position=job development specialist,0.000000
search_position=land surveyor,0.000000
search_position=landscape specialist,0.000000
search_position=magazine supervisor,0.000000
search_position=manager camp,0.000000
search_position=manager compensation,0.000000
search_position=manager contracts,0.000000
search_position=manager customer service,0.000000
search_position=manager internal security,0.000000
search_position=manager promotion,0.000000
search_position=manager regulated program,0.000000
search_position=manager sales,0.000000
search_position=materials engineer,0.000000
search_position=medical assistant,0.000000
search_position=mining engineer,0.000000
search_position=mortgage clerk,0.000000
search_position=music copyist,0.000000
search_position=nematologist,0.000000
search_position=nurse anesthetist,0.000000
search_position=nurse consultant,0.000000
search_position=nurse head,0.000000
search_position=nurse office,0.000000
search_position=nurse practical,0.000000
search_position=nurse staff community health,0.000000
search_position=nurse supervisor occupational health nursing,0.000000
search_position=page,0.000000
search_position=pastry chef,0.000000
search_position=pathologist,0.000000
search_position=pediatrician,0.000000
search_position=personnel clerk,0.000000
search_position=pipeline construction inspector,0.000000
search_position=plant engineer,0.000000
search_position=plant supervisor,0.000000
search_position=playwright,0.000000
search_position=processor,0.000000
search_position=production helper,0.000000
search_position=production manager advertising,0.000000
search_position=production supervisor,0.000000
search_position=program coordinator,0.000000
search_position=property-assessment monitor,0.000000
search_position=protective officer,0.000000
search_position=quality assurance analyst,0.000000
search_position=quality assurance monitor,0.000000
search_position=radiologic technologist,0.000000
search_position=reader,0.000000
search_position=recruit instructor,0.000000
search_position=reliability engineer,0.000000
search_position=residence counselor,0.000000
search_position=river,0.000000
search_position=sales representative,0.000000
search_position=scanner,0.000000
