modelType,smoothing,thresholds,mean_f1
complement,1.0,0.7|0.3,0.853790
complement,1.0,0.5|0.5,0.836056
complement,1.0,0.3|0.7,0.819360
multinomial,1.0,0.7|0.3,0.815314
multinomial,5.0,0.3|0.7,0.806577
multinomial,5.0,0.5|0.5,0.806577
multinomial,5.0,0.7|0.3,0.806577
complement,5.0,0.3|0.7,0.806415
multinomial,1.0,0.5|0.5,0.806197
multinomial,0.1,0.3|0.7,0.805263
complement,5.0,0.7|0.3,0.804772
complement,5.0,0.5|0.5,0.804740
multinomial,1.0,0.3|0.7,0.803327
multinomial,0.1,0.5|0.5,0.775365
complement,0.1,0.5|0.5,0.766765
complement,0.1,0.7|0.3,0.765310
multinomial,0.1,0.7|0.3,0.758594
complement,0.1,0.3|0.7,0.758306
gaussian,0.1,0.3|0.7,0.615496
gaussian,0.1,0.5|0.5,0.615496
gaussian,0.1,0.7|0.3,0.615496
gaussian,1.0,0.3|0.7,0.615496
gaussian,1.0,0.5|0.5,0.615496
gaussian,1.0,0.7|0.3,0.615496
gaussian,5.0,0.3|0.7,0.615496
gaussian,5.0,0.5|0.5,0.615496
gaussian,5.0,0.7|0.3,0.615496
