maxDepth,minInstancesPerNode,numTrees,mean_f1
5,1,50,0.806577
5,5,50,0.806577
5,10,50,0.806577
10,1,50,0.806577
10,5,50,0.806577
10,10,50,0.806577
15,1,50,0.806577
15,5,50,0.806577
15,10,50,0.806577
5,1,100,0.806577
5,5,100,0.806577
5,10,100,0.806577
10,1,100,0.806577
10,5,100,0.806577
10,10,100,0.806577
15,1,100,0.806577
15,5,100,0.806577
15,10,100,0.806577
5,1,200,0.806577
5,5,200,0.806577
5,10,200,0.806577
10,1,200,0.806577
10,5,200,0.806577
10,10,200,0.806577
15,1,200,0.806577
15,5,200,0.806577
15,10,200,0.806577
