aggregationDepth,regParam,threshold,mean_f1
2,0.1,-0.2,0.884280
3,0.1,-0.2,0.884280
4,0.1,-0.2,0.884280
3,0.1,0.0,0.881664
4,0.1,0.0,0.881664
2,0.1,0.0,0.881236
2,0.01,0.0,0.858520
3,0.01,0.0,0.858520
4,0.01,0.0,0.858520
2,0.1,0.2,0.854995
3,0.1,0.2,0.854995
4,0.1,0.2,0.854995
2,0.01,-0.2,0.845744
3,0.01,-0.2,0.845744
4,0.01,-0.2,0.845744
2,0.01,0.2,0.844992
3,0.01,0.2,0.844992
4,0.01,0.2,0.844992
2,1.0,0.2,0.806577
3,1.0,0.2,0.806577
4,1.0,0.2,0.806577
2,1.0,0.0,0.806415
3,1.0,0.0,0.806415
4,1.0,0.0,0.806415
2,1.0,-0.2,0.801536
3,1.0,-0.2,0.801536
4,1.0,-0.2,0.801536
